business_name,categories,address,rating,latitude,longitude,review_count
Te Isshoku,Sushi Bars,"633 W 5th St, Ste 225, Los Angeles, CA 90071",5.0,34.05116356965227,-118.25486640223656,43
Joyce,"Southern, American (New), Seafood","770 S Grand Ave, Ste A, Los Angeles, CA 90017",4.5,34.04645515952082,-118.2571682,66
Pine & Crane DTLA,Taiwanese,"1120 S Grand Ave, Ste 101, Los Angeles, CA 90015",4.5,34.04088199432459,-118.26227691396424,466
Wokcano,"Chinese, Sushi Bars, Lounges","800 W 7th St, Los Angeles, CA 90017",3.5,34.048593,-118.25917,1655
Mezcalero,"Cocktail Bars, Mexican","510 S Broadway, Los Angeles, CA 90013",4.0,34.04751,-118.25072,696
Tender Greens,"Salad, American (New), Seafood","505 W 6th St, PacMutual Building, Los Angeles, CA 90014",3.5,34.0484162,-118.2543612,503
BAR Ama,"Tex-Mex, Cocktail Bars, New Mexican Cuisine","118 W 4th St, Los Angeles, CA 90013",4.0,34.0483374,-118.2477806,1311
The Exchange Restaurant,"Middle Eastern, Cocktail Bars","416 West 8th St, Los Angeles, CA 90014",4.0,34.04471,-118.25646,426
Strada Eateria & Bar,"Tapas/Small Plates, Bars, American (New)","825 W 9th St, Los Angeles, CA 90015",4.5,34.04681,-118.26348,674
The Wolves,"Cocktail Bars, American (New)","519 S Spring St, Los Angeles, CA 90013",4.0,34.0470476,-118.2501702,312
Marugame Udon-Los Angeles,"Japanese, Noodles, Asian Fusion","700 S Flower St, Ste 2600, Los Angeles, CA 90017",4.0,34.0483966730337,-118.25858827976226,287
The Broad,Art Museums,"221 S Grand Ave, Los Angeles, CA 90012",4.5,34.054493,-118.250573,2702
The Bradbury Building,Landmarks & Historical Buildings,"304 S Broadway, Los Angeles, CA 90013",4.5,34.05063286339589,-118.24785998585068,290
GRAMMY Museum,"Museums, Venues & Event Spaces","800 W Olympic Blvd, Ste A245, Los Angeles, CA 90015",4.0,34.044666,-118.264616,486
Pershing Square,Parks,"532 S Olive St, Los Angeles, CA 90189",3.5,34.048506,-118.252841,191
Gloria Molina Grand Park,Parks,"200 N Grand Ave, Los Angeles, CA 90012",4.0,34.05579248614315,-118.24571380066514,380
The Museum of Contemporary Art,"Art Museums, Art Tours, Art Galleries","250 S Grand Ave, Los Angeles, CA 90012",4.0,34.0528717041016,-118.250839233398,457
FIDM Museum & Galleries,"Museums, Art Galleries","919 S Grand Ave, Los Angeles, CA 90015",4.5,34.04384887997548,-118.26006778451612,66
The Los Angeles Theatre Center,"Performing Arts, Venues & Event Spaces, Museums","514 S Spring St, Los Angeles, CA 90013",4.5,34.0468445839075,-118.249905874869,26
Blue Ribbon Garden At Walt Disney Concert Hall,Parks,"111 S Grand Ave, Los Angeles, CA 90012",4.5,34.055649,-118.250215,26
Bunker Hill Steps,Landmarks & Historical Buildings,"633 W 5th St, Los Angeles, CA 90071",4.0,34.05103,-118.25453,6
The Moca Store,Museums,"250 S Grand Ave, Los Angeles, CA 90012",4.0,34.05309194053753,-118.25079150707786,38
Los Angeles Fine Arts Building,Landmarks & Historical Buildings,"811 West 7th St, Los Angeles, CA 90017",5.0,34.0489812,-118.2589574,8
The Caledison,Landmarks & Historical Buildings,"601 W 5th St, Los Angeles, CA 90071",5.0,34.050724029541,-118.253936767578,1
Grand Hope Park,Parks,"W 9th Street And Hope, Los Angeles, CA 90017",3.5,34.0451159063193,-118.260358391036,90
The Dutch Chocolate Shop,"Landmarks & Historical Buildings, Venues & Event Spaces","217 W 6th St, Los Angeles, CA 90014",5.0,34.04652,-118.25137,3
South Park Commons,Parks,"1114 S Grand Ave, Los Angeles, CA 90015",4.5,34.0410208587576,-118.262230195105,4
Indian Alley,"Landmarks & Historical Buildings, Public Art","421 Werdin Pl, Los Angeles, CA 90013",4.0,34.0471438318491,-118.247396573424,4
The Park DTLA,Parks,"201 S Figueroa St, Los Angeles, CA 90012",5.0,34.05652,-118.2533292,2
Kenneth Hahn Hall of Administration,Landmarks & Historical Buildings,"500 W Temple St, Los Angeles, CA 90012",3.5,34.05656,-118.24632,9
Spring Street Park,Parks,"426 S Spring St, Los Angeles, CA 90013",2.5,34.048093883883,-118.248760259794,31
Historic Merced Theatre Building,Landmarks & Historical Buildings,"420 S Main St, Los Angeles, CA 90013",5.0,34.047613,-118.24789,1
Biddy Mason Park,Parks,"324 Broadway And Spring St At 3rd St, Los Angeles, CA 90040",4.0,34.0506810508744,-118.24748200481,7
